,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_CORREA_M,VC_NOBOA_F,VC_CORREA_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
187,2006,2,670,0.0,0.0,29.0,46.0,1273.0,1964.0,1157.0,2000.0,5551.0,5109.0,6394.0,75.0,YANZATZA,ZAMORA CHINCHIPE
188,2006,2,675,0.0,0.0,82.0,82.0,1880.0,2057.0,1698.0,1795.0,5266.0,4656.0,7430.0,164.0,PALESTINA,GUAYAS
189,2006,2,680,0.0,0.0,100.0,146.0,3537.0,7306.0,3342.0,7293.0,16378.0,15760.0,21478.0,246.0,PASTAZA,PASTAZA
190,2006,2,685,0.0,0.0,15.0,34.0,521.0,1131.0,646.0,1261.0,2462.0,2665.0,3559.0,49.0,MERA,PASTAZA
191,2006,2,690,0.0,0.0,64.0,55.0,1024.0,1751.0,913.0,1799.0,4199.0,3969.0,5487.0,119.0,PORTOVELO,EL ORO
192,2006,2,695,0.0,0.0,48.0,65.0,3882.0,5299.0,3925.0,5530.0,12240.0,12369.0,18636.0,113.0,HUAQUILLAS,EL ORO
193,2006,2,700,0.0,0.0,62.0,94.0,1934.0,3070.0,1855.0,2926.0,6719.0,6628.0,9785.0,156.0,ARCHIDONA,NAPO
194,2006,2,705,0.0,0.0,29.0,21.0,592.0,1232.0,486.0,1174.0,2754.0,2416.0,3484.0,50.0,ATAHUALPA,EL ORO
195,2006,2,710,0.0,0.0,90.0,55.0,2820.0,2357.0,2632.0,2378.0,7387.0,7107.0,10187.0,145.0,MONTALVO,LOS RIOS
196,2006,2,715,0.0,0.0,195.0,162.0,5503.0,5314.0,5144.0,4597.0,14581.0,13215.0,20558.0,357.0,PEDRO CARBO,GUAYAS
197,2006,2,720,0.0,0.0,115.0,119.0,3084.0,4312.0,2315.0,3350.0,11276.0,8481.0,13061.0,234.0,SHUSHUFINDI,SUCUMBIOS
198,2006,2,725,0.0,0.0,61.0,91.0,2358.0,3955.0,1738.0,3202.0,8730.0,6774.0,11253.0,152.0,JOYA DE LOS SACHAS,ORELLANA
199,2006,2,730,0.0,0.0,30.0,27.0,623.0,1193.0,552.0,1005.0,2648.0,2438.0,3373.0,57.0,PINDAL,LOJA
200,2006,2,735,0.0,0.0,74.0,87.0,5325.0,3040.0,5079.0,3084.0,10420.0,10105.0,16528.0,161.0,PLAYAS,GUAYAS
201,2006,2,740,0.0,0.0,11.0,9.0,350.0,612.0,335.0,603.0,1888.0,1784.0,1900.0,20.0,QUILANGA,LOJA
202,2006,2,745,0.0,0.0,18.0,31.0,709.0,1224.0,558.0,1034.0,2753.0,2260.0,3525.0,49.0,CASCALES,SUCUMBIOS
203,2006,2,750,0.0,0.0,129.0,112.0,1841.0,2869.0,1594.0,2330.0,7368.0,6085.0,8634.0,241.0,PALENQUE,LOS RIOS
204,2006,2,755,0.0,0.0,20.0,23.0,531.0,942.0,443.0,869.0,2198.0,1887.0,2785.0,43.0,LAS LAJAS,EL ORO
205,2006,2,760,0.0,0.0,48.0,52.0,1705.0,1896.0,1373.0,1967.0,5193.0,4863.0,6941.0,100.0,CALUMA,BOLIVAR
206,2006,2,765,0.0,0.0,18.0,41.0,653.0,872.0,748.0,1192.0,3436.0,3572.0,3465.0,59.0,EL TAMBO,CANAR
207,2006,2,770,0.0,0.0,21.0,14.0,742.0,1659.0,568.0,1529.0,3479.0,2948.0,4498.0,35.0,SAN MIGUEL DE LOS BANCOS,PICHINCHA
208,2006,2,775,0.0,0.0,11.0,23.0,385.0,1063.0,362.0,1166.0,2527.0,2383.0,2976.0,34.0,EL PANGUI,ZAMORA CHINCHIPE
209,2006,2,780,0.0,0.0,14.0,25.0,217.0,497.0,236.0,698.0,1182.0,1577.0,1648.0,39.0,OÑA,AZUAY
210,2006,2,785,0.0,0.0,80.0,68.0,3343.0,2959.0,3026.0,2805.0,9465.0,8332.0,12133.0,148.0,ATACAMES,ESMERALDAS
211,2006,2,790,0.0,0.0,92.0,69.0,3075.0,1752.0,2741.0,1580.0,6655.0,5832.0,9148.0,161.0,SIMON BOLIVAR,GUAYAS
212,2006,2,795,0.0,0.0,16.0,34.0,149.0,925.0,117.0,854.0,1772.0,1674.0,2045.0,50.0,HUAMBOYA,MORONA SANTIAGO
213,2006,2,796,0.0,0.0,2.0,6.0,95.0,254.0,69.0,239.0,484.0,397.0,657.0,8.0,PABLO SEXTO,MORONA SANTIAGO
214,2006,2,797,0.0,0.0,14.0,17.0,93.0,784.0,111.0,618.0,1505.0,1340.0,1606.0,31.0,TIWINZA,MORONA SANTIAGO
215,2006,2,800,0.0,0.0,4.0,9.0,562.0,959.0,479.0,949.0,2304.0,2089.0,2949.0,13.0,SAN CRISTOBAL,GALAPAGOS
216,2006,2,805,0.0,0.0,11.0,24.0,924.0,1642.0,763.0,1464.0,3546.0,3049.0,4793.0,35.0,SANTA CRUZ,GALAPAGOS
217,2006,2,810,0.0,0.0,1.0,9.0,247.0,234.0,207.0,162.0,627.0,522.0,850.0,10.0,ISABELA,GALAPAGOS
218,2006,2,815,0.0,0.0,22.0,31.0,711.0,1253.0,589.0,1134.0,3157.0,2801.0,3687.0,53.0,CHAGUARPAMBA,LOJA
219,2006,2,820,0.0,0.0,198.0,204.0,17786.0,14441.0,19460.0,14777.0,43209.0,45885.0,66464.0,402.0,DURAN,GUAYAS
220,2006,2,825,0.0,0.0,100.0,131.0,2467.0,6060.0,2181.0,5840.0,11747.0,11063.0,16548.0,231.0,LA MANA,COTOPAXI
